Question	A	B	C	D	Answer	Marks
Let A = {1, 2, 3} and B = {2, 3, 4}, then which of the following relations is a function from A to B?	{(1, 2), (2, 3), (3, 4), (2, 2)}	{(1, 2), (2, 3), (1, 3)}	{(1, 3), (2, 3), (3, 3)}	{(1, 1), (2, 3), (3, 4)}	{(1, 3), (2, 3), (3, 3)}	
The number of solutions of sinx + cosx = 2 is	0	1	2	4	0
The word 'tomorrow' is stressed on the …. Syllable	1st	2nd	3rd	4th	2nd
The synonym of 'carnal' is…..	fleshy	spiritual	religious	secular	fleshy
Fragile	strong	brittle	florid	juicy	strong
Between …… , this is a secret matter	me and him	he and I	you and she	her and me	her and me
Which is a grammatically correct sentence?	He was a appointed as principal	It is no good to cry over split milk	No sooner did she seems than she recognized	No sooner had she seen me than she recognized me	No sooner did she seems than she recognized
She looks as if she….. sick	is	was	were	has been	were
I took that person …..a thief	as	to	for	after	for
No one has had a bath in the bagmati and……	nor has he 	neither did I	he doesn’t to	nor have they	neither did I
It….. a month since he has last had a bath.	Was	have been	has been	is	is
He seized me….. the hair	by	in	on	from	by
We can’t see in the dark. It’s passive is	The dark can’t be seen in the dark	No one is seen in the dark	Nothing can be seen in the dark	None Nothing can be seen in the dark
	







