Questions	A	B	C	D	Answer	Marks
The order of the power set of a set of order n is	n	2n	n^`2	2ⁿ	2ⁿ	1
If A = {1,2,3,4,5} then the number of proper subsets of A are	32	31	16	15	31	1
The general solution of tan(θ + α) tan(θ - α) = 1 is	2nπ ± π/4	nπ + π/6	nπ ± π/4	nπ + (-1) ⁿ( π/2)	nπ ± π/4	1
The equation bx^`2 + cx + a = 0 has real roots if	b^`2 < ac	c^`2<ab	b^`2 ≥ ac	c^`2≥ab	c^`2≥ab	1
The line y = mx + c and y = mx + d are on the opposite sides of the origin iff	c = -d	c and d are of same signs	c and d are of opposite signs	c = d
If f(x) = mx + c and f(0) = f’(0) = 1, then f(2) is	0	1	2	3	3	1
The direction cosines of a line equally inclined to the axes are	1/3,1/3,1/3	±1√ (3), ±1√ (3), ±1√ (3)	1/2,1/2,1/2	±1√ (2), ±1√ (2), ±1√ (2)	±1√ (3), ±1√ (3), ±1√ (3)	1
If f:[0,π] →[0,1]	such that f(x) = cos^`2x, then f is	one-one	onto	one-one onto	not a function	onto	1
The general solution of 2sin^`2θ -1 = θ is	2nπ ± π/4	2nπ + π/4	2nπ - π/4	nπ ± π/4	nπ ± π/4	1
The value of x obtained from the equations ax^`2 + by^`2 = 1 and ax + by = 1 will be equal if	a – b = 1	a + b = 1	a = b	a = 1 = b	a + b = 1	1
The angles between the lines xy = 0 is	0⁰	90⁰	60⁰	120⁰	90⁰	1
Total number formed with the digits 2,3,4,5,6,7,0 in between 100 and 1000 are	108	810	180	801	180	1
The inverse of function f(x) = arc(sin(1-2x)) is defined for	-1 ≤ x ≤ 1	-1/2 ≤ x ≤ 1/2	-2 ≤ x ≤ 2	0 ≤ x ≤ 1	0 ≤ x ≤ 1	1
The value of arc(tan3) + arc(tan3) is	π/4	π/3	π/2	π/6	π/2	1
logₐx < logₐy when	a>1, x>y>0	a<1, x>y>0	a<1, x<y<0	a>1,x<y<0	a>1, x>y>0	1
The absolute value of -1 ≤ x ≤ -1/3 is	|3x + 2| ≥ 1	|3x + 2| ≤ 1	|2x + 3| ≥ 1	|2x + 3| ≤ 1	|2x + 3| ≤ 1	1
The period of the function f(x) = sin4x + tan2x is	2π	3π	3π/2	π/2	2π	1
The direction cosines of the line passing through the points A (-1,2,4) and B (1,0,5) are	-2/3,-2/3,1/3	2/3,-2/3,1/3	2/3,2/3,1/3	2/3,2/3,-1/3	2/3,2/3,1/3	1
The angle between the planes 2x – y + z = 6 and x + y + 2z =3 is	π/3	π/2	π/4	π/6	π/6	1
	
